run_name,batch_time,data_window,model_version,data_source,report_owner,auc,ks,auc_drop,ks_drop,psi_max_value,psi_max_feature,max_missing_rate,max_missing_feature,pass_80_rule,fairness_groups,dq_notes,top_drift_json
daily_batch,29/08/2025 14:20,N/A,v1.0,{'daily_file_pattern': 'data/new_batch_*.csv'},Christine Ding ,0.75,0.35,0.03,0.02,0.25,dti,0.15,int_rate,TRUE,"income_group, addr_state",No unusual ETL/schema issues observed.,"[{""feature"":""dti"",""psi"":0.25,""ref"":""ref-dist""},{""feature"":""int_rate"",""psi"":0.18,""ref"":""ref-dist""}]"
daily_batch,30/08/2025 22:33,N/A,v1.0,{'daily_file_pattern': 'data/new_batch_*.csv'},Christine Ding ,,,,,0.243723412,fico_mid,0.000419903,dti,TRUE,"income_group, addr_state",No unusual ETL/schema issues observed.,"[{""feature"": ""fico_mid"", ""psi"": 0.24372341160558172, ""ref"": ""ref-dist""}, {""feature"": ""log_annual_inc"", ""psi"": 0.22736010249034674, ""ref"": ""ref-dist""}, {""feature"": ""log_loan_amnt"", ""psi"": 0.06094374173645392, ""ref"": ""ref-dist""}]"
daily_batch,30/08/2025 23:23,N/A,v1.0,{'daily_file_pattern': 'data/new_batch_*.csv'},Christine Ding ,0.692102104,0.285692492,0.008391746,0.00771087,0.262558128,fico_mid,0.000419903,dti,TRUE,"income_group, addr_state",No unusual ETL/schema issues observed.,"[{""feature"": ""fico_mid"", ""psi"": 0.26255812825075847, ""ref"": ""ref-dist""}, {""feature"": ""log_annual_inc"", ""psi"": 0.2132414985238716, ""ref"": ""ref-dist""}, {""feature"": ""log_loan_amnt"", ""psi"": 0.05767552011703467, ""ref"": ""ref-dist""}]"
